No.;Time;Comment;Scramble;Date;P.1
1;16.92;;U' L' R2 F' L2 U2 B R2 B2 D2 B2 U2 L2 R' F L' F' R' U B;2021-03-28 00:20:50;16.92
2;16.08;;R2 B2 U B2 R2 D' U' L2 D L2 R' D' F' U' F L F2 D' L D;2021-03-28 00:21:29;16.08
3;22.27;;L' U2 R B2 D2 L2 B2 L' U2 R D' L B' F L2 R D' F2 L' B;2021-03-28 00:22:03;22.27
4;15.03;;B' D F' L' F2 R' D R2 F' U' R2 U R2 U' L2 D F2 D' B2 L2;2021-03-28 00:22:47;15.03
5;19.11;;B2 U R2 U B2 U' L2 B2 U' R2 U2 B' L R U R2 F' U B2 L2 R2;2021-03-28 00:23:29;19.11
6;16.34;;D2 F' U2 F' R2 D2 B2 L2 R2 U2 B' L' F L2 R2 B D L' F2;2021-03-28 00:24:05;16.34
7;15.97;;D' F U2 L2 R2 D U' R2 B2 D' F2 D R B2 L2 U L' D' R2 F;2021-03-28 00:24:51;15.97
8;18.25;;B2 U' F R' F' R' U' F' U B2 R2 L2 U' B2 D' B2 D L2 F2;2021-03-28 00:26:05;18.25
9;20.34;;B U R2 U' R2 U' L2 B2 L2 D' U2 R B2 R' D' R U' R' F;2021-03-28 00:26:36;20.34
10;13.43;;R2 B2 F U2 B2 F' D2 R2 B' R2 D2 U L D R' U' B F2 L' D U2;2021-03-28 00:27:31;13.43
11;15.56;;D R F B2 R2 U2 L2 D R2 D' B2 D2 F2 D R B L' U F L2 U';2021-03-28 00:28:00;15.56
12;17.83;;U F2 D2 U' L2 U' L2 F2 L2 U2 B' U' B2 L F D' F' R' B' L2;2021-03-28 00:28:40;17.83
13;18.42;;D' F2 L2 U2 B2 D' F2 R2 F2 R2 F U B' D F2 R U' B D2 L';2021-03-28 00:29:25;18.42
14;17.60;;L' F2 U R2 F2 D2 F2 U' B2 U2 L2 U' L2 B' L' U' B2 L U2 L;2021-03-28 00:30:17;17.60
15;14.08;;F D2 B2 F2 D B2 D2 U' B2 R2 U' R' U2 B' L D L2 F' R2 B';2021-03-28 00:30:47;14.08
16;18.41;;F2 L U2 F2 R U2 R B2 D2 B2 L F2 D' B' L U' R' D2 F L B';2021-03-28 00:31:20;18.41
17;16.10;;U2 B' L' B2 L' B L2 F' D L2 D R2 L2 U' B2 D' L2 D2 F2 L;2021-03-28 00:31:54;16.10
18;18.17;;U F2 R2 B2 R D L' U L2 U2 B L2 D2 B2 D2 B' D2 B R2 U2;2021-03-28 00:32:30;18.17
19;21.24;;L B2 D2 B2 U' R2 U' L2 U L2 R2 B2 L D' F U' L2 B2 D2 F' D;2021-03-28 00:33:08;21.24
20;22.16;;F' L2 F' U2 B L2 F2 U2 L2 B U F' L B2 D R' F R D2 U2;2021-03-28 00:33:51;22.16
21;15.99;;R L' U' R2 D F' U' L B2 L2 B D2 R2 F D2 R2 F' B' U;2021-03-28 00:34:38;15.99
22;18.73;;D2 L' U' R2 U' D' L2 F L' F2 U2 L2 F2 D' F2 U L2 U' F2 D2 R2;2021-03-28 00:35:13;18.73
23;17.53;;L2 U' L U' R' B U B' L2 D2 F L2 F' U2 R2 F' D2 F R' B';2021-03-28 00:35:52;17.53
24;16.38;;B2 U' R2 U L2 U R2 U2 L U R2 F U' B' D2 L D' B2;2021-03-28 00:36:21;16.38
25;16.72;;F D2 U2 B R2 B R2 U2 B F D2 F' U' F D2 B2 R U2 F' U' F';2021-03-28 00:36:58;16.72
26;21.13;;B R2 D' R2 U2 B2 R2 D2 R2 U R2 B2 F' D F2 U B2 R D2 R;2021-03-28 00:37:28;21.13
27;19.35;;L2 B R2 D2 R2 U2 F R2 B U2 F2 R' D' R F' R D R2 U;2021-03-28 00:38:03;19.35
28;16.51;;D B2 L2 D' B2 U L2 R2 D2 F' D L B2 D R' U' F2 R' U2;2021-03-28 00:38:45;16.51
29;17.57;;U' F L2 B' R2 F U2 B2 U2 B' D2 B' L' B2 F' D' R' B' F' L;2021-03-28 00:39:19;17.57
30;17.27;;B2 D2 B' F2 D2 U2 L2 U2 B' D2 B D2 L' B' L R' B' L' D L R2;2021-03-28 00:39:57;17.27
31;12.07;;L' D2 R' U2 L' D2 U2 R' F2 U2 L2 U2 B U' L2 F L' U2 L' R2 F;2021-03-28 00:40:32;12.07
32;17.39;;F L F' L D R2 U2 L F' R2 U2 L2 F D2 B R2 B D2 F2 D2 U';2021-03-28 00:41:37;17.39
33;18.81;;F' L2 B L2 R2 B L2 R2 B L2 U2 B D' B2 R' D2 L U F' L2 D2;2021-03-28 00:42:21;18.81
34;16.07;;F L' F L' B' R B' L U' R2 B2 U2 B2 D2 L F2 D2 F2 U2 L;2021-03-28 00:42:57;16.07
35;16.66;;U' D2 R2 F D2 B L2 U2 F U2 F D2 L2 D L' U B F2 U2 R U';2021-03-28 00:43:31;16.66
36;17.75;;U' F' U2 F2 U2 R2 B' U2 B' L2 F R2 F2 L F2 R' D' L B L2 F';2021-03-28 00:44:07;17.75
37;16.71;;F B2 D R2 U2 B2 R2 U L2 B2 D B2 U B L' D2 B' U' F' U';2021-03-28 00:44:42;16.71
38;19.11;;D2 B D' R2 D R2 U' R2 D F2 R2 D' R D2 B' F' U B D R2;2021-03-28 00:45:17;19.11
39;15.57;;D2 F2 L D2 R B2 R' B2 L2 D2 F2 R' B' U' R D B U' R2 F R2;2021-03-28 00:45:54;15.57
40;14.77;;B2 R2 D B2 U B2 F2 U2 R2 U B2 R2 F' R D' U2 L' U R' F L';2021-03-28 00:46:29;14.77
41;16.50;;F2 R2 U R2 D F2 D B2 R2 B2 F U2 L' D U L' R' U2 B' F';2021-03-28 00:47:10;16.50
42;15.12;;D F2 R2 D' B2 U2 L2 U R2 U2 B2 U' B' F L D B R2 D' L2;2021-03-28 00:47:45;15.12
43;18.52;;B2 L2 D' R2 U2 F2 R2 B2 D' L2 D' U' F L B' R B U L2 B' F';2021-03-28 00:48:14;18.52
44;15.91;;D R' L2 U B2 L2 D B2 R2 D' B2 U2 F2 L2 B' L' R U' F' U2 B2;2021-03-28 00:49:24;15.91
45;19.83;;F' D' B2 D2 R' B' D' R2 F2 L F2 U2 R2 F2 R' B2 U';2021-03-28 00:50:58;19.83
46;16.57;;R2 F' U2 L D F2 B2 L B D' R2 U R2 U2 B2 R2 U' L2 U' L2 U;2021-03-28 00:51:50;16.57
47;19.38;;B2 D' R2 B D2 U2 R2 B D2 F' R2 F L2 B R' B' R' B' U B F2;2021-03-28 00:52:33;19.38
48;19.68;;L2 D2 U2 B2 F D2 B U2 R2 D2 F2 L' F D' U F' U2 L' D' U2;2021-03-28 00:53:12;19.68
49;20.10;;B' U2 F' U2 L2 R2 B' U2 B L2 F L D' F' U' R' F' U2 F U';2021-03-28 00:54:04;20.10
50;17.18;;F B2 U2 R' U2 B2 U2 R B2 L' B2 L2 F2 U B' R B D' F U;2021-03-28 00:54:45;17.18